Tag,Inorganic phosphor,Host,1st dopant,1st dopant valency,1st doping concentration,2nd dopant,2nd dopant valency,2nd doping concentration ,Temp. (K),Emission max. (nm),CIE x coordinate,CIE y coordinate,Int. quantum efficiency (%),Ext. quantum efficiency (%),Thermal quenching temp. (K),Excitation source (nm),1st Excitation max. (nm),2nd Excitation max. (nm),3rd Excitation max. (nm),Log10 Decay time ( log10[ns]),Decay time (ns),Monitoring energy (nm),Reference,Publisher,MP-ID,ICSD-ID,LOF-Score,Journal,ISSN,Year
1,Ba2Bi0.95V3O11Eu0.05,Ba2Bi0.95V3O11,Eu,3,0.05,,,,298,619,,,,,,394,394,465,,6.017033339,1040000,619,https://doi.org/10.1016/j.dyepig.2016.04.052,ESV,mp-559941 , icsd-78156,0.965171867,Dyes and Pigments,0143-7208,2016
2,Ba2Bi0.8V3O11Eu0.2,Ba2Bi0.8V3O11,Eu,3,0.2,,,,298,619,,,,,,394,394,465,,6,1000000,619,https://doi.org/10.1016/j.dyepig.2016.04.052,ESV,mp-559941 , icsd-78156,0.979538963,Dyes and Pigments,0143-7208,2016
3,Ba2Bi0.6V3O11Eu0.4,Ba2Bi0.6V3O11,Eu,3,0.4,,,,298,619,,,,,,394,394,465,,6,1000000,619,https://doi.org/10.1016/j.dyepig.2016.04.052,ESV,mp-559941 , icsd-78156,0.979536504,Dyes and Pigments,0143-7208,2016
4,Ba2Bi0.4V3O11Eu0.6,Ba2Bi0.4V3O11,Eu,3,0.6,,,,298,619,0.65,0.35,,,451,394,394,465,,5.982271233,960000,619,https://doi.org/10.1016/j.dyepig.2016.04.052,ESV,mp-559941 , icsd-78156,1.035120852,Dyes and Pigments,0143-7208,2016
5,Ba2Bi0.2V3O11Eu0.8,Ba2Bi0.2V3O11,Eu,3,0.8,,,,298,619,,,,,,394,394,465,,5.755874856,570000,619,https://doi.org/10.1016/j.dyepig.2016.04.052,ESV,mp-559941 , icsd-78156,0.989919239,Dyes and Pigments,0143-7208,2016
6,Ba2V3O11Eu1,Ba2V3O11,Eu,3,1,,,,298,619,,,,,,394,394,465,,5.278753601,190000,619,https://doi.org/10.1016/j.dyepig.2016.04.052,ESV,mp-559941 , icsd-78156,0.968880417,Dyes and Pigments,0143-7208,2016
7,CaLa0.98B7O13Eu0.02,CaLa0.98B7O13,Eu,3,0.02,,,,298,613,0.544,0.455,13.2,,,395,,,,,,613,https://doi.org/10.1016/j.ijleo.2017.10.161,ESV,,,1.085866348,Optik,0030-4026,2018
8,CaLa0.92B7O13Eu0.08,CaLa0.92B7O13,Eu,3,0.08,,,,298,613,0.564,0.435,16.1,,,395,,,,,,613,https://doi.org/10.1016/j.ijleo.2017.10.161,ESV,,,1.08092588,Optik,0030-4026,2018
9,CaLa0.85B7O13Eu0.15,CaLa0.85B7O13,Eu,3,0.15,,,,298,613,0.579,0.418,18.9,,,395,,,,,,613,https://doi.org/10.1016/j.ijleo.2017.10.161,ESV,,,1.07928537,Optik,0030-4026,2018
10,CaLa0.65B7O13Eu0.35,CaLa0.65B7O13,Eu,3,0.35,,,,298,613,0.611,0.388,15.6,,,395,395,378,465,,,613,https://doi.org/10.1016/j.ijleo.2017.10.161,ESV,,,1.119337437,Optik,0030-4026,2018
11,CaLa0.55B7O13Eu0.45,CaLa0.55B7O13,Eu,3,0.45,,,,298,613,0.607,0.393,12.6,,,395,,,,,,613,https://doi.org/10.1016/j.ijleo.2017.10.161,ESV,,,1.106730554,Optik,0030-4026,2018
12,CaLa0.45B7O13Eu0.55,CaLa0.45B7O13,Eu,3,0.55,,,,298,613,0.594,0.405,10.1,,,395,,,,,,613,https://doi.org/10.1016/j.ijleo.2017.10.161,ESV,,,1.112098081,Optik,0030-4026,2018
13,Sr8ZnScP7O28Tb0.02,Sr8ZnScP7O28,Tb,3,0.02,,,,298,546,0.205,0.186,,,,370,370,378,352,0.068185862,1.17,546,https://doi.org/10.1039/C8TC03515F,RSC,,,1.195259044,Journal of Materials Chemistry C,2050-7526,2018
14,Sr8ZnScP7O28Tb0.06,Sr8ZnScP7O28,Tb,3,0.06,,,,298,546,0.215,0.273,,,,370,370,378,352,,,546,https://doi.org/10.1039/C8TC03515F,RSC,,,1.976398099,Journal of Materials Chemistry C,2050-7526,2018
15,Sr8ZnScP7O28Tb0.1,Sr8ZnScP7O28,Tb,3,0.1,,,,298,546,0.219,0.303,,,,370,,,,0.021189299,1.05,546,https://doi.org/10.1039/C8TC03515F,RSC,,,1.194739651,Journal of Materials Chemistry C,2050-7526,2018
16,Sr8ZnScP7O28Tb0.12,Sr8ZnScP7O28,Tb,3,0.12,,,,298,546,0.241,0.376,,,,370,,,,,,546,https://doi.org/10.1039/C8TC03515F,RSC,,,1.978353916,Journal of Materials Chemistry C,2050-7526,2018
17,Sr8ZnScP7O28Tb0.14,Sr8ZnScP7O28,Tb,3,0.14,,,,298,546,0.245,0.411,,,,370,370,378,352,0.23299611,1.71,546,https://doi.org/10.1039/C8TC03515F,RSC,,,1.199701184,Journal of Materials Chemistry C,2050-7526,2018
18,Na2.98Sc2P3O12Eu0.01,Na2.98Sc2P3O12,Eu,2,0.01,,,,298,453,,,31.5,,,370,320,250,,2.612783857,410,453,https://doi.org/10.1038/nmat4843,SN,"mp-16956, mp-1221280, mp-555608", icsd-65406 icsd-20740,1.091234641,Nature Materials,1476-1122,2017
19,Na2.98Sc2P3O12Eu0.01,Na2.98Sc2P3O12,Eu,2,0.01,,,,323,453,,,33,,,370,320,250,,2.62324929,420,453,https://doi.org/10.1038/nmat4843,SN,"mp-16956, mp-1221280, mp-555608", icsd-65406 icsd-20740,1.08832491,Nature Materials,1476-1122,2017
20,Na2.98Sc2P3O12Eu0.01,Na2.98Sc2P3O12,Eu,2,0.01,,,,373,453,,,59.7,,,370,320,250,,2.643452676,440,453,https://doi.org/10.1038/nmat4843,SN,"mp-16956, mp-1221280, mp-555608", icsd-65406 icsd-20740,1.086799486,Nature Materials,1476-1122,2017
21,Na2.98Sc2P3O12Eu0.01,Na2.98Sc2P3O12,Eu,2,0.01,,,,423,453,,,69.6,,,370,320,250,,2.633468456,430,453,https://doi.org/10.1038/nmat4843,SN,"mp-16956, mp-1221280, mp-555608", icsd-65406 icsd-20740,1.10073604,Nature Materials,1476-1122,2017
22,Na2.98Sc2P3O12Eu0.01,Na2.98Sc2P3O12,Eu,2,0.01,,,,473,453,,,,,,370,320,250,,2.62324929,420,453,https://doi.org/10.1038/nmat4843,SN,"mp-16956, mp-1221280, mp-555608", icsd-65406 icsd-20740,1.118192064,Nature Materials,1476-1122,2017
23,Na2.94Sc2P3O12Eu0.03,Na2.94Sc2P3O12,Eu,2,0.03,,,,298,453,0.295,0.36,64.1,,,370,313,250,,2.591064607,390,453,https://doi.org/10.1038/nmat4843,SN,"mp-16956, mp-1221280, mp-555608", icsd-65406 icsd-20740,1.099733465,Nature Materials,1476-1122,2017
24,Na2.94Sc2P3O12Eu0.03,Na2.94Sc2P3O12,Eu,2,0.03,,,,323,453,,,66.2,,,370,313,250,,2.602059991,400,453,https://doi.org/10.1038/nmat4843,SN,"mp-16956, mp-1221280, mp-555608", icsd-65406 icsd-20740,1.096378502,Nature Materials,1476-1122,2017
25,Na2.94Sc2P3O12Eu0.03,Na2.94Sc2P3O12,Eu,2,0.03,,,,373,453,,,67.5,,,370,313,250,,2.633468456,430,453,https://doi.org/10.1038/nmat4843,SN,"mp-16956, mp-1221280, mp-555608", icsd-65406 icsd-20740,1.090146217,Nature Materials,1476-1122,2017
26,Na2.94Sc2P3O12Eu0.03,Na2.94Sc2P3O12,Eu,2,0.03,,,,423,453,,,72.4,,,370,313,250,,2.653212514,450,453,https://doi.org/10.1038/nmat4843,SN,"mp-16956, mp-1221280, mp-555608", icsd-65406 icsd-20740,1.094112679,Nature Materials,1476-1122,2017
27,Na2.94Sc2P3O12Eu0.03,Na2.94Sc2P3O12,Eu,2,0.03,,,,473,453,,,,,,370,313,250,,2.62324929,420,453,https://doi.org/10.1038/nmat4843,SN,"mp-16956, mp-1221280, mp-555608", icsd-65406 icsd-20740,1.118148577,Nature Materials,1476-1122,2017
28,Na2.86Sc2P3O12Eu0.07,Na2.86Sc2P3O12,Eu,2,0.07,,,,298,453,,,50,,,370,300,250,,2.447158031,280,453,https://doi.org/10.1038/nmat4843,SN,"mp-16956, mp-1221280, mp-555608", icsd-65406 icsd-20740,1.054777552,Nature Materials,1476-1122,2017
29,Na2.86Sc2P3O12Eu0.07,Na2.86Sc2P3O12,Eu,2,0.07,,,,323,453,,,50.7,,,370,300,250,,2.462397998,290,453,https://doi.org/10.1038/nmat4843,SN,"mp-16956, mp-1221280, mp-555608", icsd-65406 icsd-20740,1.055018814,Nature Materials,1476-1122,2017
30,Na2.86Sc2P3O12Eu0.07,Na2.86Sc2P3O12,Eu,2,0.07,,,,373,453,,,52.6,,,370,300,250,,2.477121255,300,453,https://doi.org/10.1038/nmat4843,SN,"mp-16956, mp-1221280, mp-555608", icsd-65406 icsd-20740,1.073218214,Nature Materials,1476-1122,2017
31,Na2.86Sc2P3O12Eu0.07,Na2.86Sc2P3O12,Eu,2,0.07,,,,423,453,,,54.7,,,370,300,250,,2.51851394,330,453,https://doi.org/10.1038/nmat4843,SN,"mp-16956, mp-1221280, mp-555608", icsd-65406 icsd-20740,1.083513306,Nature Materials,1476-1122,2017
32,Na2.86Sc2P3O12Eu0.07,Na2.86Sc2P3O12,Eu,2,0.07,,,,473,453,,,,,,370,300,250,,2.505149978,320,453,https://doi.org/10.1038/nmat4843,SN,"mp-16956, mp-1221280, mp-555608", icsd-65406 icsd-20740,1.095751306,Nature Materials,1476-1122,2017
33,Ba3YAl2O7.5Ce0.03,Ba3YAl2O7.5,Ce,3,0.03,,,,298,478,,,,,,330,325,,,0.913283902,8.19,400,https://doi.org/10.1016/j.cej.2017.01.044,ESV,mp-1214519,,1.02001926,Chemical Engineering Journal,1385-8947,2017
34,Ba3YAl2O7.5Ce0.03,Ba3YAl2O7.5,Ce,3,0.03,,,,298,478,,,,,,330,368,,,1.546912643,35.23,480,https://doi.org/10.1016/j.cej.2017.01.044,ESV,mp-1214519,,1.007890988,Chemical Engineering Journal,1385-8947,2017
35,Ba3YAl2O7.5Ce0.03,Ba3YAl2O7.5,Ce,3,0.03,,,,298,478,,,,,,330,368,,,1.521661015,33.24,520,https://doi.org/10.1016/j.cej.2017.01.044,ESV,mp-1214519,,1.012409343,Chemical Engineering Journal,1385-8947,2017
36,Ba3YAl2O7.5Ce0.03,Ba3YAl2O7.5,Ce,3,0.03,,,,298,478,0.1852,0.3139,,,423,375,368,,,1.545430829,35.11,480,https://doi.org/10.1016/j.cej.2017.01.044,ESV,mp-1214519,,1.009813857,Chemical Engineering Journal,1385-8947,2017
37,Ba3Y0.9Lu0.1Al2O7.5Ce0.03,Ba3Y0.9Lu0.1Al2O7.5,Ce,3,0.03,,,,298,478,0.193,0.336,,,,375,373,,,1.499136995,31.56,480,https://doi.org/10.1016/j.cej.2017.01.044,ESV,mp-1214519,,1.079954621,Chemical Engineering Journal,1385-8947,2017
38,Ba3Y0.8Lu0.2Al2O7.5Ce0.03,Ba3Y0.8Lu0.2Al2O7.5,Ce,3,0.03,,,,298,481,0.197,0.3427,,,,375,374,,,1.461198289,28.92,480,https://doi.org/10.1016/j.cej.2017.01.044,ESV,mp-1214519,,1.080348573,Chemical Engineering Journal,1385-8947,2017
39,Ba3Y0.7Lu0.3Al2O7.5Ce0.03,Ba3Y0.7Lu0.3Al2O7.5,Ce,3,0.03,,,,298,485,0.1978,0.3719,,,,375,383,,,1.418798291,26.23,480,https://doi.org/10.1016/j.cej.2017.01.044,ESV,mp-1214519,,1.080790877,Chemical Engineering Journal,1385-8947,2017
40,Ba3Y0.6Lu0.4Al2O7.5Ce0.03,Ba3Y0.6Lu0.4Al2O7.5,Ce,3,0.03,,,,298,489,0.2053,0.3864,,,,375,388,,,1.363235804,23.08,480,https://doi.org/10.1016/j.cej.2017.01.044,ESV,mp-1214519,,1.083179043,Chemical Engineering Journal,1385-8947,2017
41,Ba3Y0.5Lu0.5Al2O7.5Ce0.03,Ba3Y0.5Lu0.5Al2O7.5,Ce,3,0.03,,,,298,493,0.2099,0.3992,,,410,375,397,,,1.353339095,22.56,480,https://doi.org/10.1016/j.cej.2017.01.044,ESV,mp-1214519,,1.071729853,Chemical Engineering Journal,1385-8947,2017
53,Ca11Si4O22B2Eu0.005,Ca11Si4O22B2,Eu,2,0.005,,,,298,502,0.247,0.478,,,,365,365,,,,,505,https://doi.org/10.1039/C3TC30933A,RSC,,,2.098937762,Journal of Materials Chemistry C,2050-7526,2013
54,Ca11Si4O22B2Ce0.02,Ca11Si4O22B2,Ce,3,0.02,,,,298,430,0.154,0.082,,,,353,,,,,,,https://doi.org/10.1039/C3TC30933A,RSC,,,2.064472265,Journal of Materials Chemistry C,2050-7526,2013
55,Rb2Bi0.99PO8MoEu0.01,Rb2Bi0.99PO8Mo,Eu,3,0.01,,,,298,615,0.6484,0.3512,25,,,393.5,394,362,380,6.261738547,1827000,615,https://doi.org/10.3390/ma12193275,MDPI,mp-1197894, icsd-426593,1.020531714,Materials,1996-1944,2019
56,Rb2Bi0.99PO8MoEu0.01,Rb2Bi0.99PO8Mo,Eu,3,0.01,,,,300,615,0.6509,0.34877,,,,393.5,394,362,380,6.264817823,1840000,615,https://doi.org/10.3390/ma12193275,MDPI,mp-1197894, icsd-426593,0.964352694,Materials,1996-1944,2019
57,Rb2Bi0.99PO8MoEu0.01,Rb2Bi0.99PO8Mo,Eu,3,0.01,,,,350,615,0.65049,0.34917,,,,393.5,394,362,380,6.25791845,1811000,615,https://doi.org/10.3390/ma12193275,MDPI,mp-1197894, icsd-426593,1.027158049,Materials,1996-1944,2019
58,Rb2Bi0.99PO8MoEu0.01,Rb2Bi0.99PO8Mo,Eu,3,0.01,,,,400,615,0.64938,0.35026,,,,393.5,394,362,380,6.251881455,1786000,615,https://doi.org/10.3390/ma12193275,MDPI,mp-1197894, icsd-426593,0.993379067,Materials,1996-1944,2019
59,Rb2Bi0.99PO8MoEu0.01,Rb2Bi0.99PO8Mo,Eu,3,0.01,,,,450,615,0.64787,0.35172,,,,393.5,394,362,380,6.242789809,1749000,615,https://doi.org/10.3390/ma12193275,MDPI,mp-1197894, icsd-426593,1.010691649,Materials,1996-1944,2019
60,Rb2Bi0.99PO8MoEu0.01,Rb2Bi0.99PO8Mo,Eu,3,0.01,,,,500,615,0.64547,0.35406,,,,393.5,394,362,380,6.23350376,1712000,615,https://doi.org/10.3390/ma12193275,MDPI,mp-1197894, icsd-426593,0.999414507,Materials,1996-1944,2019
61,Rb2Bi0.95PO8MoEu0.05,Rb2Bi0.95PO8Mo,Eu,3,0.05,,,,298,615,0.64663,0.35294,53,,,393.5,394,362,380,6.266231697,1846000,615,https://doi.org/10.3390/ma12193275,MDPI,mp-1197894, icsd-426593,0.991647252,Materials,1996-1944,2019
62,Rb2Bi0.9PO8MoEu0.1,Rb2Bi0.9PO8Mo,Eu,3,0.1,,,,298,615,0.64841,0.35121,70,,,393.5,394,362,380,6.265525335,1843000,615,https://doi.org/10.3390/ma12193275,MDPI,mp-1197894, icsd-426593,0.967609097,Materials,1996-1944,2019
63,Rb2Bi0.75PO8MoEu0.25,Rb2Bi0.75PO8Mo,Eu,3,0.25,,,,298,615,0.65025,0.3494,89,,,393.5,394,362,380,6.277150614,1893000,615,https://doi.org/10.3390/ma12193275,MDPI,mp-1197894, icsd-426593,0.987612847,Materials,1996-1944,2019
64,Rb2Bi0.5PO8MoEu0.5,Rb2Bi0.5PO8Mo,Eu,3,0.5,,,,298,615,0.65099,0.34868,98,,,393.5,394,362,380,6.310480891,2044000,615,https://doi.org/10.3390/ma12193275,MDPI,mp-1197894, icsd-426593,0.995439281,Materials,1996-1944,2019
65,Rb2Bi0.5PO8MoEu0.5,Rb2Bi0.5PO8Mo,Eu,3,0.5,,,,300,615,0.64754,0.35193,,,,393.5,394,362,380,6.304705898,2017000,615,https://doi.org/10.3390/ma12193275,MDPI,mp-1197894, icsd-426593,1.012931979,Materials,1996-1944,2019
66,Rb2Bi0.5PO8MoEu0.5,Rb2Bi0.5PO8Mo,Eu,3,0.5,,,,350,615,0.64752,0.35196,,,,393.5,394,362,380,6.2999429,1995000,615,https://doi.org/10.3390/ma12193275,MDPI,mp-1197894, icsd-426593,1.052854683,Materials,1996-1944,2019
67,Rb2Bi0.5PO8MoEu0.5,Rb2Bi0.5PO8Mo,Eu,3,0.5,,,,400,615,0.64674,0.35273,,,,393.5,394,362,380,6.29578694,1976000,615,https://doi.org/10.3390/ma12193275,MDPI,mp-1197894, icsd-426593,1.017430697,Materials,1996-1944,2019
68,Rb2Bi0.5PO8MoEu0.5,Rb2Bi0.5PO8Mo,Eu,3,0.5,,,,450,615,0.64573,0.3537,,,,393.5,394,362,380,6.290702243,1953000,615,https://doi.org/10.3390/ma12193275,MDPI,mp-1197894, icsd-426593,1.015858395,Materials,1996-1944,2019
69,Rb2Bi0.5PO8MoEu0.5,Rb2Bi0.5PO8Mo,Eu,3,0.5,,,,500,615,0.64379,0.35557,,,,393.5,394,362,380,6.28171497,1913000,615,https://doi.org/10.3390/ma12193275,MDPI,mp-1197894, icsd-426593,1.026143793,Materials,1996-1944,2019
70,Rb2Bi0.25PO8MoEu0.75,Rb2Bi0.25PO8Mo,Eu,3,0.75,,,,298,615,0.651,0.34868,94,,,393.5,394,362,380,6.291146762,1955000,615,https://doi.org/10.3390/ma12193275,MDPI,mp-1197894, icsd-426593,1.015811725,Materials,1996-1944,2019
71,Rb2PO8MoEu1,Rb2PO8Mo,Eu,3,1,,,,298,615,0.65152,0.34816,92,,716,393.5,394,362,380,6.286007122,1932000,615,https://doi.org/10.3390/ma12193275,MDPI,mp-1197894, icsd-426593,1.023120297,Materials,1996-1944,2019
72,Rb2PO8MoEu1,Rb2PO8Mo,Eu,3,1,,,,300,615,0.65081,0.34886,,,,393.5,394,362,380,6.288249226,1942000,615,https://doi.org/10.3390/ma12193275,MDPI,mp-1197894, icsd-426593,1.044835785,Materials,1996-1944,2019
73,Rb2PO8MoEu1,Rb2PO8Mo,Eu,3,1,,,,350,615,0.65048,0.34918,,,,393.5,394,362,380,6.292477594,1961000,615,https://doi.org/10.3390/ma12193275,MDPI,mp-1197894, icsd-426593,1.008875678,Materials,1996-1944,2019
74,Rb2PO8MoEu1,Rb2PO8Mo,Eu,3,1,,,,400,615,0.64974,0.3499,,,,393.5,394,362,380,6.293362555,1965000,615,https://doi.org/10.3390/ma12193275,MDPI,mp-1197894, icsd-426593,1.003755102,Materials,1996-1944,2019
75,Rb2PO8MoEu1,Rb2PO8Mo,Eu,3,1,,,,450,615,0.6483,0.35129,,,,393.5,394,362,380,6.29136885,1956000,615,https://doi.org/10.3390/ma12193275,MDPI,mp-1197894, icsd-426593,1.014087236,Materials,1996-1944,2019
76,Rb2PO8MoEu1,Rb2PO8Mo,Eu,3,1,,,,500,615,0.6461,0.35344,,,,393.5,394,362,380,6.27989498,1905000,615,https://doi.org/10.3390/ma12193275,MDPI,mp-1197894, icsd-426593,0.999047991,Materials,1996-1944,2019
77,Y2Mo4O15Eu0.01,Y2Mo4O15,Eu,3,0.01,,,,298,615,0.6656,0.3341,,30,,393.5,394,465,360,5.911690159,816000,616,https://doi.org/10.1038/srep26098,SN,mp-1203448, icsd-422017,1.097322923,Scientific Reports,2045-2322,2016
78,Y2Mo4O15Eu0.01,Y2Mo4O15,Eu,3,0.01,,,,300,615,0.6639,0.3356,,,,393.5,,,,5.909556029,812000,,https://doi.org/10.1038/srep26098,SN,mp-1203448, icsd-422017,1.058497593,Scientific Reports,2045-2322,2016
79,Y2Mo4O15Eu0.01,Y2Mo4O15,Eu,3,0.01,,,,350,615,0.6632,0.3363,,,,393.5,,,,5.904174368,802000,,https://doi.org/10.1038/srep26098,SN,mp-1203448, icsd-422017,0.992652913,Scientific Reports,2045-2322,2016
80,Y2Mo4O15Eu0.01,Y2Mo4O15,Eu,3,0.01,,,,400,615,0.6613,0.3382,,,,393.5,,,,5.900913068,796000,,https://doi.org/10.1038/srep26098,SN,mp-1203448, icsd-422017,0.999602506,Scientific Reports,2045-2322,2016
81,Y2Mo4O15Eu0.01,Y2Mo4O15,Eu,3,0.01,,,,450,615,0.6578,0.3415,,,,393.5,,,,5.893761762,783000,,https://doi.org/10.1038/srep26098,SN,mp-1203448, icsd-422017,0.996113227,Scientific Reports,2045-2322,2016
82,Y2Mo4O15Eu0.01,Y2Mo4O15,Eu,3,0.01,,,,500,615,0.6527,0.3464,,,,393.5,,,,5.879669206,758000,,https://doi.org/10.1038/srep26098,SN,mp-1203448, icsd-422017,1.041295664,Scientific Reports,2045-2322,2016
83,Y2Mo4O15Eu0.05,Y2Mo4O15,Eu,3,0.05,,,,298,615,0.6656,0.3341,,38,,393.5,394,465,360,5.910090546,813000,616,https://doi.org/10.1038/srep26098,SN,mp-1203448, icsd-422017,1.064906917,Scientific Reports,2045-2322,2016
84,Y2Mo4O15Eu0.1,Y2Mo4O15,Eu,3,0.1,,,,298,615,0.6661,0.3336,,62,349,393.5,394,465,360,5.907411361,808000,616,https://doi.org/10.1038/srep26098,SN,mp-1203448, icsd-422017,1.040110669,Scientific Reports,2045-2322,2016
85,Y2Mo4O15Eu0.1,Y2Mo4O15,Eu,3,0.1,,,,300,615,0.6666,0.3331,,,,393.5,,,,5.903632516,801000,,https://doi.org/10.1038/srep26098,SN,mp-1203448, icsd-422017,0.991232764,Scientific Reports,2045-2322,2016
86,Y2Mo4O15Eu0.1,Y2Mo4O15,Eu,3,0.1,,,,350,615,0.6663,0.3334,,,,393.5,,,,5.900913068,796000,,https://doi.org/10.1038/srep26098,SN,mp-1203448, icsd-422017,0.999607476,Scientific Reports,2045-2322,2016
87,Y2Mo4O15Eu0.1,Y2Mo4O15,Eu,3,0.1,,,,400,615,0.6651,0.3346,,,,393.5,,,,5.895974732,787000,,https://doi.org/10.1038/srep26098,SN,mp-1203448, icsd-422017,1.000186069,Scientific Reports,2045-2322,2016
88,Y2Mo4O15Eu0.1,Y2Mo4O15,Eu,3,0.1,,,,450,615,0.6628,0.3368,,,,393.5,,,,5.88592634,769000,,https://doi.org/10.1038/srep26098,SN,mp-1203448, icsd-422017,1.022773279,Scientific Reports,2045-2322,2016
89,Y2Mo4O15Eu0.1,Y2Mo4O15,Eu,3,0.1,,,,500,615,0.6603,0.3392,,,,393.5,,,,5.86569606,734000,,https://doi.org/10.1038/srep26098,SN,mp-1203448, icsd-422017,1.005996933,Scientific Reports,2045-2322,2016
90,Y2Mo4O15Eu0.25,Y2Mo4O15,Eu,3,0.25,,,,298,615,0.6665,0.3332,,73,,393.5,394,465,360,5.894316063,784000,616,https://doi.org/10.1038/srep26098,SN,mp-1203448, icsd-422017,1.000544061,Scientific Reports,2045-2322,2016
91,Y2Mo4O15Eu0.5,Y2Mo4O15,Eu,3,0.5,,,,298,615,0.6669,0.3328,,77,,393.5,394,465,360,5.861534411,727000,616,https://doi.org/10.1038/srep26098,SN,mp-1203448, icsd-422017,1.039002799,Scientific Reports,2045-2322,2016
92,Y2Mo4O15Eu0.75,Y2Mo4O15,Eu,3,0.75,,,,298,615,0.6668,0.3329,,59,449,393.5,394,465,360,5.778874472,601000,616,https://doi.org/10.1038/srep26098,SN,mp-1203448, icsd-422017,0.980927141,Scientific Reports,2045-2322,2016
93,Y2Mo4O15Eu0.75,Y2Mo4O15,Eu,3,0.75,,,,300,615,0.6672,0.3325,,,,393.5,,,,5.775974331,597000,,https://doi.org/10.1038/srep26098,SN,mp-1203448, icsd-422017,0.992932086,Scientific Reports,2045-2322,2016
94,Y2Mo4O15Eu0.75,Y2Mo4O15,Eu,3,0.75,,,,350,615,0.6667,0.3331,,,,393.5,,,,5.790988475,618000,,https://doi.org/10.1038/srep26098,SN,mp-1203448, icsd-422017,1.019757989,Scientific Reports,2045-2322,2016
95,Y2Mo4O15Eu0.75,Y2Mo4O15,Eu,3,0.75,,,,400,615,0.6654,0.3343,,,,393.5,,,,5.788875116,615000,,https://doi.org/10.1038/srep26098,SN,mp-1203448, icsd-422017,1.02432714,Scientific Reports,2045-2322,2016
96,Y2Mo4O15Eu0.75,Y2Mo4O15,Eu,3,0.75,,,,450,615,0.6636,0.3361,,,,393.5,,,,5.719331287,524000,,https://doi.org/10.1038/srep26098,SN,mp-1203448, icsd-422017,1.089578785,Scientific Reports,2045-2322,2016
97,Y2Mo4O15Eu0.75,Y2Mo4O15,Eu,3,0.75,,,,500,615,0.6611,0.3385,,,,393.5,,,,5.686636269,486000,,https://doi.org/10.1038/srep26098,SN,mp-1203448, icsd-422017,1.01998148,Scientific Reports,2045-2322,2016
98,Sr4Al14O25Ce0.16,Sr4Al14O25,Ce,3,0.16,,,,298,448,0.1677,0.1288,,,,361,361,,,7.126780577,13390000,448,https://doi.org/10.1039/D0TC04618C,RSC,mp-5512, icsd-88527 icsd-27744,1.167626675,Journal of Materials Chemistry C,2050-7526,2021
99,Sr4Al14O25Tb0.12,Sr4Al14O25,Tb,3,0.12,,,,298,544,0.2875,0.4841,,,,378,378,,,,,544,https://doi.org/10.1039/D0TC04618C,RSC,mp-5512, icsd-88527 icsd-27744,1.23665356,Journal of Materials Chemistry C,2050-7526,2021
100,Sr4Al14O25Ce0.16Tb0.02,Sr4Al14O25,Ce,3,0.16,Tb,3,0.02,298,544,0.2627,0.4276,,,,348,348,,,6.761175813,5770000,544,https://doi.org/10.1039/D0TC04618C,RSC,mp-5512, icsd-88527 icsd-27744,1.030680858,Journal of Materials Chemistry C,2050-7526,2021
101,Sr4Al14O25Ce0.16Tb0.04,Sr4Al14O25,Ce,3,0.16,Tb,3,0.04,298,544,0.2877,0.4944,,,,348,348,,,6.768638101,5870000,544,https://doi.org/10.1039/D0TC04618C,RSC,mp-5512, icsd-88527 icsd-27744,1.037147999,Journal of Materials Chemistry C,2050-7526,2021
102,Sr4Al14O25Ce0.16Tb0.08,Sr4Al14O25,Ce,3,0.16,Tb,3,0.08,298,544,0.304,0.5303,47.04,,,348,348,,,6.523746467,3340000,544,https://doi.org/10.1039/D0TC04618C,RSC,mp-5512, icsd-88527 icsd-27744,130.688996,Journal of Materials Chemistry C,2050-7526,2021
103,Sr4Al14O25Ce0.16Tb0.1,Sr4Al14O25,Ce,3,0.16,Tb,3,0.1,298,544,0.3047,0.5359,,,,348,348,,,,,544,https://doi.org/10.1039/D0TC04618C,RSC,mp-5512, icsd-88527 icsd-27744,1.34753627,Journal of Materials Chemistry C,2050-7526,2021
104,Sr4Al14O25Ce0.16Tb0.12,Sr4Al14O25,Ce,3,0.16,Tb,3,0.12,298,544,0.3067,0.5458,,,,348,348,,,6.361727836,2300000,544,https://doi.org/10.1039/D0TC04618C,RSC,mp-5512, icsd-88527 icsd-27744,1.016624998,Journal of Materials Chemistry C,2050-7526,2021
105,Sr4Al14O25Ce0.16Tb0.16,Sr4Al14O25,Ce,3,0.16,Tb,3,0.16,298,544,0.3066,0.5475,,,,348,348,,,6.361727836,2300000,544,https://doi.org/10.1039/D0TC04618C,RSC,mp-5512, icsd-88527 icsd-27744,1.016624998,Journal of Materials Chemistry C,2050-7526,2021
106,Sr4Al14O25Ce0.16Tb0.2,Sr4Al14O25,Ce,3,0.16,Tb,3,0.2,298,544,0.3058,0.5458,,,,348,348,,,6.390935107,2460000,544,https://doi.org/10.1039/D0TC04618C,RSC,mp-5512, icsd-88527 icsd-27744,0.98189271,Journal of Materials Chemistry C,2050-7526,2021
