protocol,feature_set,model,fold,train_rows,test_rows,train_groups,test_groups,mae,rmse,r2
group_formula,AF,median,0,1302,363,1134,284,36.549586776859506,67.6488716440322,-0.22251059933612027
group_formula,AF,median,1,1341,324,1134,284,41.09567901234568,72.47619873252218,-0.2790982743085453
group_formula,AF,median,2,1353,312,1134,284,45.87820512820513,76.81723648057655,-0.3235589755021322
group_formula,AF,median,3,1350,315,1135,283,45.336507936507935,75.83773404290179,-0.3868590079361207
group_formula,AF,median,4,1314,351,1135,283,43.52136752136752,71.7030517853155,-0.3400397231118528
group_formula,AF,xgboost,0,1302,363,1134,284,21.558098911253875,35.13902802292973,0.670154162671871
group_formula,AF,xgboost,1,1341,324,1134,284,19.66302396044319,39.094103102335524,0.6278349324347807
group_formula,AF,xgboost,2,1353,312,1134,284,21.50060575436323,37.52199650205085,0.6842104050343207
group_formula,AF,xgboost,3,1350,315,1135,283,18.43863292875744,34.358161038931705,0.7153432824570038
group_formula,AF,xgboost,4,1314,351,1135,283,13.927912698512063,25.538812290738576,0.8300020109293164
group_formula,AF+ES,median,0,1302,363,1134,284,36.549586776859506,67.6488716440322,-0.22251059933612027
group_formula,AF+ES,median,1,1341,324,1134,284,41.09567901234568,72.47619873252218,-0.2790982743085453
group_formula,AF+ES,median,2,1353,312,1134,284,45.87820512820513,76.81723648057655,-0.3235589755021322
group_formula,AF+ES,median,3,1350,315,1135,283,45.336507936507935,75.83773404290179,-0.3868590079361207
group_formula,AF+ES,median,4,1314,351,1135,283,43.52136752136752,71.7030517853155,-0.3400397231118528
group_formula,AF+ES,xgboost,0,1302,363,1134,284,16.03664833258006,26.70027621846713,0.8095578712288908
group_formula,AF+ES,xgboost,1,1341,324,1134,284,16.030596791962047,34.68413364406685,0.7070626148488308
group_formula,AF+ES,xgboost,2,1353,312,1134,284,15.447328714224009,30.445180692857836,0.7920959014926527
group_formula,AF+ES,xgboost,3,1350,315,1135,283,14.850430152529762,29.291807554628228,0.7931031114052859
group_formula,AF+ES,xgboost,4,1314,351,1135,283,12.634021291705618,25.152029634776188,0.8351122225793107
group_formula,AF+T,median,0,1302,363,1134,284,36.549586776859506,67.6488716440322,-0.22251059933612027
group_formula,AF+T,median,1,1341,324,1134,284,41.09567901234568,72.47619873252218,-0.2790982743085453
group_formula,AF+T,median,2,1353,312,1134,284,45.87820512820513,76.81723648057655,-0.3235589755021322
group_formula,AF+T,median,3,1350,315,1135,283,45.336507936507935,75.83773404290179,-0.3868590079361207
group_formula,AF+T,median,4,1314,351,1135,283,43.52136752136752,71.7030517853155,-0.3400397231118528
group_formula,AF+T,xgboost,0,1302,363,1134,284,20.81399864007619,34.497164500938595,0.6820942975050235
group_formula,AF+T,xgboost,1,1341,324,1134,284,19.358878053264853,38.75928762236791,0.6341823367061714
group_formula,AF+T,xgboost,2,1353,312,1134,284,21.171618730593952,37.20622453820347,0.689503188791294
group_formula,AF+T,xgboost,3,1350,315,1135,283,18.54269816080729,34.24375499717987,0.7172358300984885
group_formula,AF+T,xgboost,4,1314,351,1135,283,14.158860252793358,25.941831883310638,0.8245943117555479
group_formula,AF+T+ES,median,0,1302,363,1134,284,36.549586776859506,67.6488716440322,-0.22251059933612027
group_formula,AF+T+ES,median,1,1341,324,1134,284,41.09567901234568,72.47619873252218,-0.2790982743085453
group_formula,AF+T+ES,median,2,1353,312,1134,284,45.87820512820513,76.81723648057655,-0.3235589755021322
group_formula,AF+T+ES,median,3,1350,315,1135,283,45.336507936507935,75.83773404290179,-0.3868590079361207
group_formula,AF+T+ES,median,4,1314,351,1135,283,43.52136752136752,71.7030517853155,-0.3400397231118528
