protocol,feature_set,model,training_mode,Eu valence,fold,train_rows,test_rows,mae,rmse,r2
group_formula,AF,xgboost,separate,3,2,855,184,8.397781040357506,23.713556208466866,0.1318609315821374
group_formula,AF,xgboost,separate,3,3,845,194,9.35675803902223,24.375500978084112,0.43914467103213883
group_formula,AF,xgboost,separate,3,4,814,225,7.4543069118923615,17.496556469922908,0.47252826302951856
group_formula,AF+ES,median,pooled,2,0,490,136,82.63235294117646,104.08720891071837,-0.7911343364267052
group_formula,AF+ES,median,pooled,2,1,511,115,96.86086956521739,114.862829345343,-1.263479258371579
group_formula,AF+ES,median,pooled,2,2,498,128,97.2109375,115.76589388718942,-1.1149897971030338
group_formula,AF+ES,median,pooled,2,3,505,121,97.43801652892562,114.63820198944111,-1.580683707557046
group_formula,AF+ES,median,pooled,2,4,500,126,101.36507936507937,115.18287736506342,-2.1032403419881334
group_formula,AF+ES,median,pooled,3,0,812,227,8.940528634361234,28.761379667053923,-0.02752128680643029
group_formula,AF+ES,median,pooled,3,1,830,209,10.411483253588516,29.724251049916614,-0.03236720178478647
group_formula,AF+ES,median,pooled,3,2,855,184,10.168478260869565,26.132397018127584,-0.054276243265235946
group_formula,AF+ES,median,pooled,3,3,845,194,12.84020618556701,33.79036341612523,-0.077778399501375
group_formula,AF+ES,median,pooled,3,4,814,225,11.12888888888889,24.308389041188597,-0.018137386705149083
group_formula,AF+ES,median,separate,2,0,490,136,72.3529411764706,84.8103420441579,-0.1891347282823994
group_formula,AF+ES,median,separate,2,1,511,115,65.57391304347826,76.34709071647436,-5.720847991996791e-06
group_formula,AF+ES,median,separate,2,2,498,128,67.0859375,79.99799802182552,-0.00996251490455946
group_formula,AF+ES,median,separate,2,3,505,121,59.98347107438016,71.84004270277956,-0.013466066372206154
group_formula,AF+ES,median,separate,2,4,500,126,54.98412698412698,65.9782311382094,-0.018218308416956708
group_formula,AF+ES,median,separate,3,0,812,227,8.561674008810572,29.15553385182686,-0.055877155008583035
group_formula,AF+ES,median,separate,3,1,830,209,10.267942583732058,30.142722704782596,-0.06164009907894741
