protocol,feature_set,model,fold_count,pooled_r2_mean,pooled_r2_std,separate_r2_mean,separate_r2_std,r2_change,r2_change_std,pooled_mae_mean_nm,pooled_mae_std_nm,separate_mae_mean_nm,separate_mae_std_nm,mae_change_nm,mae_change_std_nm,mae_improvement_nm,pooled_rmse_mean_nm,pooled_rmse_std_nm,separate_rmse_mean_nm,separate_rmse_std_nm,rmse_change_nm,rmse_change_std_nm,rmse_improvement_nm
random_row,AF+T+ES,xgboost,5,0.796773873864,0.052978623421,0.823478837923,0.041600911918,0.026704964059,0.035347313242,14.266666849955,1.113535821667,11.489503052858,1.029944996653,-2.777163797098,0.811448632276,2.777163797098,28.397281915934,3.978630013941,26.501339674766,3.54788210162,-1.895942241169,2.51736009776,1.895942241169
group_formula,AF+T+ES,xgboost,5,0.786385668743,0.048727190137,0.759236361909,0.088572610977,-0.027149306833,0.095117888059,15.211193090124,1.532073062493,13.796023175647,2.847745805861,-1.415169914477,2.192972441959,1.415169914477,29.335724189913,3.900247451608,30.791661530275,5.434532087796,1.455937340362,5.740785510894,-1.455937340362
group_host,AF+T+ES,xgboost,5,0.62880623957,0.078638519073,0.634411398986,0.1626344797,0.005605159416,0.128372614285,20.255022551999,3.323580988868,18.030427813244,3.719232105125,-2.224594738755,2.782057704221,2.224594738755,38.403189076323,5.243475464084,37.281758464803,7.095131265589,-1.12143061152,5.824086290404,1.12143061152
group_reference,AF+T+ES,xgboost,5,0.36204464194,0.096084007513,0.414540556035,0.068618524857,0.052495914095,0.107133894174,32.822374138808,2.884516264097,29.057222294786,4.660734368764,-3.765151844021,2.890687038819,3.765151844021,49.684592505654,4.272587992736,47.906534543461,6.538551321523,-1.778057962192,4.211938081455,1.778057962192
