protocol,feature_set,model,training_mode,Eu valence,fold_count,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std
group_formula,AF,median,pooled,2,5,95.10145118007976,7.2061860950967125,112.90740229955107,4.948836601786163,-1.3707054882892993,0.4983695575632097
group_formula,AF,median,pooled,3,5,10.697917044655043,1.4340417759664161,28.543356038482386,3.6304546071284913,-0.042016103612595355,0.02399295195162433
group_formula,AF,median,separate,2,5,63.996077955691206,6.693097802147475,75.79474092468936,7.26734178494631,-0.04615746776482275,0.0802057973765324
group_formula,AF,median,separate,3,5,10.484143199976726,1.5404728382158337,28.998497753404877,3.6965384276568813,-0.07556053172553283,0.02940550353377291
group_formula,AF,xgboost,pooled,2,5,28.443915992205724,3.8558247741316283,44.11126487473042,7.061771208545752,0.6436398684574011,0.0866402320783199
group_formula,AF,xgboost,pooled,3,5,13.362894007060817,2.9836712014923004,26.684623978430615,4.799682145983755,0.06871685369301636,0.29170862154236016
group_formula,AF,xgboost,separate,2,5,23.245346260454234,2.277528700665432,40.714706468719875,4.640752501640318,0.6966933002387982,0.04972888770568954
group_formula,AF,xgboost,separate,3,5,9.224241118403171,1.8236474646047005,23.13028090946797,3.503007428948863,0.30311289079525866,0.17881508814795904
group_formula,AF+ES,median,pooled,2,5,95.10145118007976,7.2061860950967125,112.90740229955107,4.948836601786163,-1.3707054882892993,0.4983695575632097
group_formula,AF+ES,median,pooled,3,5,10.697917044655043,1.4340417759664161,28.543356038482386,3.6304546071284913,-0.042016103612595355,0.02399295195162433
group_formula,AF+ES,median,separate,2,5,63.996077955691206,6.693097802147475,75.79474092468936,7.26734178494631,-0.04615746776482275,0.0802057973765324
group_formula,AF+ES,median,separate,3,5,10.484143199976726,1.5404728382158337,28.998497753404877,3.6965384276568813,-0.07556053172553283,0.02940550353377291
group_formula,AF+ES,xgboost,pooled,2,5,23.213006898948983,2.7201358530529163,38.872864916924364,6.901043951211027,0.7193668807688999,0.08967948034112885
group_formula,AF+ES,xgboost,pooled,3,5,10.042170100955891,1.383536348666462,21.367875011562667,0.9886073695882395,0.40219930056262826,0.10121094384363195
group_formula,AF+ES,xgboost,separate,2,5,23.68585726811752,5.822786238278984,41.800928201772095,9.737969205239937,0.6767407747137101,0.12139247636911144
group_formula,AF+ES,xgboost,separate,3,5,7.749442016578827,0.8708431574106897,21.493136025343617,3.8341890318272265,0.3773080531479641,0.28697339389303683
group_formula,AF+T,median,pooled,2,5,95.10145118007976,7.2061860950967125,112.90740229955107,4.948836601786163,-1.3707054882892993,0.4983695575632097
