protocol,feature_set,model,training_mode,fold_count,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std
group_formula,AF,median,pooled,5,42.476269275057156,3.8038782184031765,72.89661853706966,3.645600339242066,-0.3104133160389543,0.0624539742745075
group_formula,AF,median,separate,5,30.67250221159312,2.5975681946514797,51.95065524833611,4.8590041485694435,0.32925121164980714,0.12626482573093267
group_formula,AF,xgboost,pooled,5,19.01765485066596,3.1335341096142937,34.33042019139728,5.263692142437952,0.7055089587054585,0.07637420756351464
group_formula,AF,xgboost,separate,5,14.509364871706415,1.9208620604562539,30.966431944463164,3.5807885551241316,0.7613045622528996,0.04980865266819757
group_formula,AF+ES,median,pooled,5,42.476269275057156,3.8038782184031765,72.89661853706966,3.645600339242066,-0.3104133160389543,0.0624539742745075
group_formula,AF+ES,median,separate,5,30.67250221159312,2.5975681946514797,51.95065524833611,4.8590041485694435,0.32925121164980714,0.12626482573093267
group_formula,AF+ES,xgboost,pooled,5,14.9998050566003,1.4104164889291357,29.254685548959248,3.682877812468972,0.7873863443109942,0.04815625331128264
group_formula,AF+ES,xgboost,separate,5,13.742462973250184,2.6915141155746576,30.892488895677417,5.283268300716521,0.7584024706437298,0.08349240260698784
group_formula,AF+T,median,pooled,5,42.476269275057156,3.8038782184031765,72.89661853706966,3.645600339242066,-0.3104133160389543,0.0624539742745075
group_formula,AF+T,median,separate,5,30.67250221159312,2.5975681946514797,51.95065524833611,4.8590041485694435,0.32925121164980714,0.12626482573093267
group_formula,AF+T,xgboost,pooled,5,18.80921076750713,2.810652451047481,34.129652708400094,4.951951831709838,0.709521992971305,0.0709405325592223
group_formula,AF+T,xgboost,separate,5,14.652093888420358,2.130283703656133,31.031936255159337,4.109682227071012,0.7592899259802476,0.05952205463654638
group_formula,AF+T+ES,median,pooled,5,42.476269275057156,3.8038782184031765,72.89661853706966,3.645600339242066,-0.3104133160389543,0.0624539742745075
group_formula,AF+T+ES,median,separate,5,30.67250221159312,2.5975681946514797,51.95065524833611,4.8590041485694435,0.32925121164980714,0.12626482573093267
group_formula,AF+T+ES,xgboost,pooled,5,15.211193090123723,1.53207306249274,29.335724189913186,3.9002474516080285,0.7863856687426249,0.048727190136590284
group_formula,AF+T+ES,xgboost,separate,5,13.79602317564716,2.847745805861164,30.79166153027549,5.434532087796014,0.7592363619091775,0.08857261097736631
group_host,AF,median,pooled,5,42.23628290265308,5.394827595743683,72.43230329886559,5.891596876169998,-0.3100702145188887,0.05848660278691131
group_host,AF,median,separate,5,30.605888829710068,3.4879167972186202,52.09836902608502,4.305492769577024,0.31324121720213227,0.12987713989736174
group_host,AF,xgboost,pooled,5,23.613315254579057,3.095384394296392,42.462591438934695,6.083279545854518,0.5450823839065565,0.10143938758482181
group_host,AF,xgboost,separate,5,18.42687753206593,2.4320185587736187,38.11912198782799,3.907432866377637,0.6310926442364282,0.08289886164520463
group_host,AF+ES,median,pooled,5,42.23628290265308,5.394827595743683,72.43230329886559,5.891596876169998,-0.3100702145188887,0.05848660278691131
group_host,AF+ES,median,separate,5,30.605888829710068,3.4879167972186202,52.09836902608502,4.305492769577024,0.31324121720213227,0.12987713989736174
group_host,AF+ES,xgboost,pooled,5,19.790465569750044,3.1042163465064054,37.604723018180195,5.668961101242982,0.6446871218850402,0.07973502948833973
group_host,AF+ES,xgboost,separate,5,18.029588654143044,3.558343977705181,37.498088063649995,6.798538414149634,0.6313829157880347,0.15921633713566746
group_host,AF+T,median,pooled,5,42.23628290265308,5.394827595743683,72.43230329886559,5.891596876169998,-0.3100702145188887,0.05848660278691131
group_host,AF+T,median,separate,5,30.605888829710068,3.4879167972186202,52.09836902608502,4.305492769577024,0.31324121720213227,0.12987713989736174
group_host,AF+T,xgboost,pooled,5,23.767024771243648,3.37220669147305,42.31135911538657,6.094806038925276,0.548941459176729,0.0976353948563821
group_host,AF+T,xgboost,separate,5,18.116706741274886,2.5643700770210187,37.48786553256101,4.329525725728136,0.6435506213196446,0.08013401192010433
group_host,AF+T+ES,median,pooled,5,42.23628290265308,5.394827595743683,72.43230329886559,5.891596876169998,-0.3100702145188887,0.05848660278691131
group_host,AF+T+ES,median,separate,5,30.605888829710068,3.4879167972186202,52.09836902608502,4.305492769577024,0.31324121720213227,0.12987713989736174
group_host,AF+T+ES,xgboost,pooled,5,20.25502255199881,3.3235809888678474,38.40318907632282,5.243475464083818,0.6288062395698979,0.07863851907251551
