protocol,feature_set,model,training_mode,fold,train_rows,test_rows,train_groups,test_groups,mae,rmse,r2
group_formula,AF+T,xgboost,separate,3,1350,315,1135,283,14.874319506448412,31.208951989680347,0.7651340897339647
group_formula,AF+T,xgboost,separate,4,1314,351,1135,283,11.621343281194356,23.96007094280172,0.850370029212054
group_formula,AF+T+ES,median,pooled,0,1302,363,1134,284,36.549586776859506,67.6488716440322,-0.22251059933612027
group_formula,AF+T+ES,median,pooled,1,1341,324,1134,284,41.09567901234568,72.47619873252218,-0.2790982743085453
group_formula,AF+T+ES,median,pooled,2,1353,312,1134,284,45.87820512820513,76.81723648057655,-0.3235589755021322
group_formula,AF+T+ES,median,pooled,3,1350,315,1135,283,45.336507936507935,75.83773404290179,-0.3868590079361207
group_formula,AF+T+ES,median,pooled,4,1314,351,1135,283,43.52136752136752,71.7030517853155,-0.3400397231118528
group_formula,AF+T+ES,median,separate,0,1302,363,1134,284,32.46143250688705,56.80133689692732,0.13811636621281276
group_formula,AF+T+ES,median,separate,1,1341,324,1134,284,29.89814814814815,51.526542363147506,0.35349021889308574
group_formula,AF+T+ES,median,separate,2,1353,312,1134,284,33.38461538461539,55.17783022843458,0.31710304506755727
group_formula,AF+T+ES,median,separate,3,1350,315,1135,283,30.917460317460318,52.06244724077435,0.34640191281738353
group_formula,AF+T+ES,median,separate,4,1314,351,1135,283,26.700854700854702,44.185119512396774,0.4911445152581966
group_formula,AF+T+ES,xgboost,pooled,0,1302,363,1134,284,15.9577684638914,25.941851813224197,0.8202232738719075
group_formula,AF+T+ES,xgboost,pooled,1,1341,324,1134,284,16.22163353437259,34.54680870105866,0.7093776776100764
group_formula,AF+T+ES,xgboost,pooled,2,1353,312,1134,284,16.499827947372044,31.826423807321753,0.7728035075701984
group_formula,AF+T+ES,xgboost,pooled,3,1350,315,1135,283,14.557865590897817,29.010881873667284,0.7970526071129175
group_formula,AF+T+ES,xgboost,pooled,4,1314,351,1135,283,12.818869914084758,25.352654754294008,0.8324712775480251
group_formula,AF+T+ES,xgboost,separate,0,1302,363,1134,284,18.240934093464833,37.45831256764931,0.6251755283755303
group_formula,AF+T+ES,xgboost,separate,1,1341,324,1134,284,13.685314413941937,32.937665407118516,0.7358207361350921
group_formula,AF+T+ES,xgboost,separate,2,1353,312,1134,284,13.35892114883814,31.67377662934687,0.7749776591274413
group_formula,AF+T+ES,xgboost,separate,3,1350,315,1135,283,13.410224260602678,29.20882683771058,0.7942736867527246
group_formula,AF+T+ES,xgboost,separate,4,1314,351,1135,283,10.284721961388222,22.67972620955217,0.8659341991550994
group_host,AF,median,pooled,0,1331,334,894,224,32.97754491017964,62.99280564377373,-0.2228396220794222
group_host,AF,median,pooled,1,1336,329,894,224,42.83586626139817,71.55581068336234,-0.33606688215858793
group_host,AF,median,pooled,2,1385,280,894,224,43.292857142857144,73.53687121826322,-0.33478991467952124
group_host,AF,median,pooled,3,1323,342,895,223,46.43567251461988,75.40613234559665,-0.37371465965266926
group_host,AF,median,pooled,4,1285,380,895,223,45.63947368421053,78.66989660333199,-0.28293999402424297
group_host,AF,median,separate,0,1331,334,894,224,30.33383233532934,52.17170666221208,0.161201421187659
group_host,AF,median,separate,1,1336,329,894,224,25.94224924012158,47.12077865607714,0.4206202618945333
group_host,AF,median,separate,2,1385,280,894,224,30.125,49.10728051928756,0.40475687335761823
group_host,AF,median,separate,3,1323,342,895,223,35.75730994152047,58.196908139170624,0.18175563069673928
group_host,AF,median,separate,4,1285,380,895,223,30.871052631578948,53.89517115367768,0.39787189887411145
group_host,AF,xgboost,pooled,0,1331,334,894,224,22.985044376578873,41.40854279142249,0.4715943004156532
group_host,AF,xgboost,pooled,1,1336,329,894,224,19.738487916152167,34.2745211334144,0.6934642175233146
group_host,AF,xgboost,pooled,2,1385,280,894,224,21.8344359261649,39.865170253030044,0.607725690102048
group_host,AF,xgboost,pooled,3,1323,342,895,223,26.855729844835068,47.15035215680641,0.4629025599504566
group_host,AF,xgboost,pooled,4,1285,380,895,223,26.652878209164268,49.614370860000115,0.48972515154131013
group_host,AF,xgboost,separate,0,1331,334,894,224,19.737223276835003,39.43288965027123,0.520813245135597
group_host,AF,xgboost,separate,1,1336,329,894,224,15.588218990430281,35.258160078792436,0.6756173056932875
group_host,AF,xgboost,separate,2,1385,280,894,224,16.557124546595983,32.84347336930529,0.7337431557834805
group_host,AF,xgboost,separate,3,1323,342,895,223,21.644868460315013,41.69329657398468,0.5800325117506593
group_host,AF,xgboost,separate,4,1285,380,895,223,18.60695238615337,41.367790266786294,0.6452570028191171
group_host,AF+ES,median,pooled,0,1331,334,894,224,32.97754491017964,62.99280564377373,-0.2228396220794222
group_host,AF+ES,median,pooled,1,1336,329,894,224,42.83586626139817,71.55581068336234,-0.33606688215858793
group_host,AF+ES,median,pooled,2,1385,280,894,224,43.292857142857144,73.53687121826322,-0.33478991467952124
group_host,AF+ES,median,pooled,3,1323,342,895,223,46.43567251461988,75.40613234559665,-0.37371465965266926
group_host,AF+ES,median,pooled,4,1285,380,895,223,45.63947368421053,78.66989660333199,-0.28293999402424297
group_host,AF+ES,median,separate,0,1331,334,894,224,30.33383233532934,52.17170666221208,0.161201421187659
group_host,AF+ES,median,separate,1,1336,329,894,224,25.94224924012158,47.12077865607714,0.4206202618945333
group_host,AF+ES,median,separate,2,1385,280,894,224,30.125,49.10728051928756,0.40475687335761823
group_host,AF+ES,median,separate,3,1323,342,895,223,35.75730994152047,58.196908139170624,0.18175563069673928
group_host,AF+ES,median,separate,4,1285,380,895,223,30.871052631578948,53.89517115367768,0.39787189887411145
group_host,AF+ES,xgboost,pooled,0,1331,334,894,224,17.496663624654985,33.347426895616636,0.6573014580003406
group_host,AF+ES,xgboost,pooled,1,1336,329,894,224,17.72716422501306,32.99737383288958,0.7158830523582459
group_host,AF+ES,xgboost,pooled,2,1385,280,894,224,18.131520516531808,34.118390557790946,0.7126708465421013
group_host,AF+ES,xgboost,pooled,3,1323,342,895,223,24.820540578741777,44.40005185706673,0.5237333675513066
group_host,AF+ES,xgboost,pooled,4,1285,380,895,223,20.776438903808593,43.16037194753711,0.6138468849732064
group_host,AF+ES,xgboost,separate,0,1331,334,894,224,21.357031359643994,44.52395890344871,0.38909293897914343
group_host,AF+ES,xgboost,separate,1,1336,329,894,224,14.419683299890767,30.915952083234902,0.7505958720587096
group_host,AF+ES,xgboost,separate,2,1385,280,894,224,14.8228761945452,29.618487156703576,0.7834648701658256
