row_id,Host,Reference,Eu valence,match_count,host_missing,host_values,reference_values,eu_valence_missing,eu_valence_values,eu_valence_invalid,status
1652,CaS,https://doi.org/10.1016/j.radmeas.2009.09.010,2.0,1,False,1,1,False,1,False,resolved
1653,Sr4LiAl11N14,https://doi.org/10.1021/acs.chemmater.6b04519,2.0,1,False,1,1,False,1,False,resolved
1654,Mg3P2O8,https://doi.org/10.1002/ejic.201500236,2.0,1,False,1,1,False,1,False,resolved
1655,SrSi5N8,https://doi.org/10.1063/1.2196064,2.0,1,False,1,1,False,1,False,resolved
1656,Bi4Si3O12,https://doi.org/10.1038/srep42464,3.0,1,False,1,1,False,1,False,resolved
1657,Bi4Si3O12,https://doi.org/10.1038/srep42464,3.0,1,False,1,1,False,1,False,resolved
1658,Bi4Si3O12,https://doi.org/10.1038/srep42464,3.0,1,False,1,1,False,1,False,resolved
1659,Bi4Si3O12,https://doi.org/10.1038/srep42464,3.0,1,False,1,1,False,1,False,resolved
1660,Bi4Si3O12,https://doi.org/10.1038/srep42464,3.0,1,False,1,1,False,1,False,resolved
1661,Na1.89Ca0.89SiO4,https://doi.org/10.1016/j.jlumin.2012.12.015,3.0,1,False,1,1,False,1,False,resolved
1662,K3LuSi2O7,https://doi.org/10.1038/s41467-019-13293-0,2.0,1,False,1,1,False,1,False,resolved
1663,K3LuSi2O7,https://doi.org/10.1038/s41467-019-13293-0,2.0,1,False,1,1,False,1,False,resolved
1664,K3LuSi2O7,https://doi.org/10.1038/s41467-019-13293-0,2.0,1,False,1,1,False,1,False,resolved
