row_id,Atomic Ratio_sum,Atomic Ratio_max,Atomic Ratio_min,Atomic Ratio_diff,Atomic Number_sum,Atomic Number_max,Atomic Number_min,Atomic Number_diff,Atomic Weight_sum,Atomic Weight_max,Atomic Weight_min,Atomic Weight_diff,Atomic Radius_sum,Atomic Radius_max,Atomic Radius_min,Atomic Radius_diff,EN pauling_sum,EN pauling_max,EN pauling_min,EN pauling_diff,Valence Electron_sum,Valence Electron_max,Valence Electron_min,Valence Electron_diff,Ionization Energy_sum,Ionization Energy_max,Ionization Energy_min,Ionization Energy_diff,ARW_Atomic Number_sum,ARW_Atomic Number_max,ARW_Atomic Number_min,ARW_Atomic Number_diff,ARW_Atomic Weight_sum,ARW_Atomic Weight_max,ARW_Atomic Weight_min,ARW_Atomic Weight_diff,ARW_Atomic Radius_sum,ARW_Atomic Radius_max,ARW_Atomic Radius_min,ARW_Atomic Radius_diff,ARW_EN pauling_sum,ARW_EN pauling_max,ARW_EN pauling_min,ARW_EN pauling_diff,ARW_Valence Electron_sum,ARW_Valence Electron_max,ARW_Valence Electron_min,ARW_Valence Electron_diff,ARW_Ionization Energy_sum,ARW_Ionization Energy_max,ARW_Ionization Energy_min,ARW_Ionization Energy_diff,Temp. (K),Excitation source (nm),Emission max. (nm),Formula,Host,Reference,Eu valence
10,5.019,3.0,0.009,2.991,214,83,8,75,508.2454,208.9804,15.999,192.9814,740,185,60,125,7.67,3.44,0,3.44,19,6,2,4,39.3210102,13.618054,5.670385,7.947669,85.377,40.0,0.63,39.37,182.6994636,91.224,1.51964,89.70436,518.29,180.0,1.44,178.56,12.6671,10.32,0,10.32,24.065,18.0,0.02,17.98,53.72349069,40.854162,0.05670385,40.79745815,298,310.0,390.0,CaZrO3Eu0.01Bi0.009,CaZrO3,https://doi.org/10.1007/s10854-018-0505-z,3
11,5.029,3.0,0.009,2.991,214,83,8,75,508.2454,208.9804,15.999,192.9814,740,185,60,125,7.67,3.44,0,3.44,19,6,2,4,39.3210102,13.618054,5.670385,7.947669,86.007,40.0,0.747,39.253,184.2191036,91.224,1.8808236,89.3431764,520.14,180.0,1.44,178.56,12.6671,10.32,0,10.32,24.085,18.0,0.04,17.96,53.78019454,40.854162,0.065569644,40.78859236,298,310.0,390.0,CaZrO3Eu0.02Bi0.009,CaZrO3,https://doi.org/10.1007/s10854-018-0505-z,3
12,21.03,13.0,0.03,12.97,136,63,8,55,309.25884,151.964,15.999,135.965,685,185,60,125,7.87,3.44,0,3.44,17,6,2,4,41.303617,13.618054,5.670385,7.947669,315.89,156.0,1.89,154.11,676.72928,355.62336,4.55892,351.06444,1985.55,780.0,5.55,774.45,56.61,44.72,0,44.72,104.06,78.0,0.06,77.94,234.1751376,177.034702,0.17011155,176.8645905,298,355.0,395.0,MgY4Si3O13Eu0.03,MgY4Si3O13,https://doi.org/10.1016/j.ceramint.2017.09.005,3
13,12.01,7.0,0.01,6.99,153,63,8,55,357.68,151.964,15.999,135.965,720,215,60,155,7.54,3.44,0,3.44,16,6,2,4,40.298021,13.618054,5.211664,8.40639,164.63,56.0,0.63,55.37,355.61964,137.327,1.51964,135.80736,1156.85,420.0,1.85,418.15,31.39,24.08,0,24.08,56.02,42.0,0.02,41.98,132.1905819,95.326378,0.05670385,95.26967415,298,320.0,396.0,BaMg2Si2O7Eu0.01,BaMg2Si2O7,https://doi.org/10.1021/acs.jpcc.7b12204,2
14,12.02,7.0,0.02,6.98,153,63,8,55,357.68,151.964,15.999,135.965,720,215,60,155,7.54,3.44,0,3.44,16,6,2,4,40.298021,13.618054,5.211664,8.40639,165.26,56.0,1.26,54.74,357.13928,137.327,3.03928,134.28772,1158.7,420.0,3.7,416.3,31.39,24.08,0,24.08,56.04,42.0,0.04,41.96,132.2472857,95.326378,0.1134077,95.2129703,298,320.0,396.0,BaMg2Si2O7Eu0.02,BaMg2Si2O7,https://doi.org/10.1021/acs.jpcc.7b12204,2
15,12.02,7.0,0.02,6.98,153,63,8,55,357.68,151.964,15.999,135.965,720,215,60,155,7.54,3.44,0,3.44,16,6,2,4,40.298021,13.618054,5.211664,8.40639,165.26,56.0,1.26,54.74,357.13928,137.327,3.03928,134.28772,1158.7,420.0,3.7,416.3,31.39,24.08,0,24.08,56.04,42.0,0.04,41.96,132.2472857,95.326378,0.1134077,95.2129703,420,320.0,396.0,BaMg2Si2O7Eu0.02,BaMg2Si2O7,https://doi.org/10.1021/acs.jpcc.7b12204,2
16,12.03,7.0,0.03,6.97,153,63,8,55,357.68,151.964,15.999,135.965,720,215,60,155,7.54,3.44,0,3.44,16,6,2,4,40.298021,13.618054,5.211664,8.40639,165.89,56.0,1.89,54.11,358.65892,137.327,4.55892,132.76808,1160.55,420.0,5.55,414.45,31.39,24.08,0,24.08,56.06,42.0,0.06,41.94,132.3039896,95.326378,0.17011155,95.15626645,298,320.0,396.0,BaMg2Si2O7Eu0.03,BaMg2Si2O7,https://doi.org/10.1021/acs.jpcc.7b12204,2
17,12.05,7.0,0.05,6.95,153,63,8,55,357.68,151.964,15.999,135.965,720,215,60,155,7.54,3.44,0,3.44,16,6,2,4,40.298021,13.618054,5.211664,8.40639,167.15,56.0,3.15,52.85,361.6982,137.327,7.5982,129.7288,1164.25,420.0,9.25,410.75,31.39,24.08,0,24.08,56.1,42.0,0.1,41.9,132.4173973,95.326378,0.28351925,95.04285875,298,320.0,396.0,BaMg2Si2O7Eu0.05,BaMg2Si2O7,https://doi.org/10.1021/acs.jpcc.7b12204,2
18,12.0405,6.0,0.0005,5.9995,271,83,5,78,649.43624,208.9804,10.81,198.1704,985,215,60,155,12.65,3.44,0,3.44,28,7,2,5,59.268528,13.618054,5.211664,8.40639,228.5615,112.0,0.0415,111.9585,522.8068902,274.654,0.1044902,274.5495098,1247.48,430.0,0.08,429.92,30.88095,20.64,0,20.64,56.0825,36.0,0.0025,35.9975,128.1430382,81.708324,0.003642758,81.70468124,298,372.0,410.0,Ba2YB2O6ClEu0.04Bi0.0005,Ba2YB2O6Cl,https://doi.org/10.1021/acs.jpcc.7b00019,3
19,12.041,6.0,0.001,5.999,271,83,5,78,649.43624,208.9804,10.81,198.1704,985,215,60,155,12.65,3.44,0,3.44,28,7,2,5,59.268528,13.618054,5.211664,8.40639,228.603,112.0,0.083,111.917,522.9113804,274.654,0.2089804,274.4450196,1247.56,430.0,0.16,429.84,30.8819,20.64,0,20.64,56.085,36.0,0.005,35.995,128.1466809,81.708324,0.007285516,81.70103848,298,372.0,410.0,Ba2YB2O6ClEu0.04Bi0.001,Ba2YB2O6Cl,https://doi.org/10.1021/acs.jpcc.7b00019,3
20,12.042,6.0,0.002,5.998,271,83,5,78,649.43624,208.9804,10.81,198.1704,985,215,60,155,12.65,3.44,0,3.44,28,7,2,5,59.268528,13.618054,5.211664,8.40639,228.686,112.0,0.166,111.834,523.1203608,274.654,0.4179608,274.2360392,1247.72,430.0,0.32,429.68,30.8838,20.64,0,20.64,56.09,36.0,0.01,35.99,128.1539664,81.708324,0.014571032,81.69375297,298,372.0,410.0,Ba2YB2O6ClEu0.04Bi0.002,Ba2YB2O6Cl,https://doi.org/10.1021/acs.jpcc.7b00019,3
